ascii information for file: combined_ASCII_2idd_0397.h5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x pixel no,y pixel no, x position, y position, SRcurrent, us_ic, ds_ic, abs_ic, abs_cfg, H_dpc_cfg, V_dpc_cfg, dia1_dpc_cfg, dia2_dpc_cfg, H_dpc_norm, V_dpc_norm, phase, ELT1, ERT1, ICR1, OCR1, deadT, x_coord, y_coord, Na, Al, Si, P, S, Cl, Ar, K, Ca, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn_L, Mo_L, Se_L, Sn_L, Cd_L, Te_L, s_i, s_e, s_a, TFY, Bkgnd
0,23,0.1965,3.04595,0,80178.4,11923.1,0.148708,0,0,0,0,0,0,0,0,0.232187,0.246046,58142.8,54867.7,5.63291,196.5,3045.95,12.8369,22.5548,14.801,19.893,142.695,8.0627,11.6117,38.031,44.7745,4.44839,1.27226,0.175059,0.193746,0.15676,0.144521,0.181839,4.56601,8.59797,414.144,97.5758,82.922,185.282,296.521,876.993,4432.26,10317.6,50418.5,0
0,24,0.1965,3.0461,0,80070.7,12273,0.153277,0,0,0,0,0,0,0,0,0.228133,0.242609,57475.3,54045.8,5.96681,196.5,3046.1,26.1652,28.7331,9.73176,16.5616,137.121,8.21701,12.0893,37.5213,43.3194,4.33203,1.39634,0.17841,0.105309,0.191712,0.165698,0.155668,4.39377,13.1438,415.449,93.4164,88.1656,182.163,297.451,841.203,4284.88,9967.38,50051.6,0
0,25,0.1965,3.04625,0,80151.5,12030.8,0.150101,0,0,0,0,0,0,0,0,0.229576,0.244794,57671.5,54086.2,6.21662,196.5,3046.25,45.4554,19.9666,13.0421,17.2913,136.998,8.39703,11.9167,36.6335,47.5135,4.55049,1.24755,0.177109,0.078406,0.190315,0.146214,0.132458,4.5534,21.7467,407.492,77.7782,78.2464,186.226,304.705,756.784,4305.84,9907.78,50095.6,0
0,26,0.1965,3.0464,0,80393.7,12649.8,0.157348,0,0,0,0,0,0,0,0,0.221494,0.235989,60209.2,56511.1,6.14213,196.5,3046.4,6.71029,23.5803,13.4773,13.4744,144.651,7.80948,11.3536,40.568,41.3179,4.49562,1.43242,0.249571,0.135037,0.207591,0.198309,0.152086,7.14335,0,430.144,64.9169,87.5258,181.805,273.255,871.923,4669.73,10777.7,52459.2,0
0,27,0.1965,3.04655,0,80366.8,12892.1,0.160415,0,0,0,0,0,0,0,0,0.229742,0.24586,60898.7,56906.5,6.55545,196.5,3046.55,19.4147,25.5841,11.0722,16.385,129.715,8.84668,10.7812,41.2395,42.2556,4.28584,1.42092,0.160461,0.130232,0.221279,0.163931,0.0953386,8.12741,13.0036,387.002,110.308,82.4019,190.966,275.65,923.258,4785.34,10749.7,53353.9,0
0,28,0.1965,3.0467,0,80043.8,13080.5,0.163416,0,0,0,0,0,0,0,0,0.233788,0.248794,57855.9,54366.2,6.03176,196.5,3046.7,31.9262,31.7873,19.9491,13.6579,132.469,6.84141,11.4685,38.8774,41.692,3.5157,1.12937,0.126657,0.192743,0.207931,0.170731,0.144718,5.2312,21.3837,385.072,76.4799,86.0621,178.058,266.145,1052.08,4995.22,11470.2,50636.5,0
0,29,0.1965,3.04685,0,80205.3,12919,0.161074,0,0,0,0,0,0,0,0,0.223609,0.237915,56187.3,52808.7,6.0131,196.5,3046.85,46.6371,22.4367,12.8856,17.45,145.599,8.73841,12.0531,39.5912,39.6186,3.87355,1.4222,0.165194,0.0536296,0.151871,0.140639,0.135901,4.06831,26.7744,422.019,70.5925,93.3158,185.537,268.344,972.804,4596.27,10491.1,48479.5,0
0,30,0.1965,3.047,0,80205.3,13188.1,0.16443,0,0,0,0,0,0,0,0,0.230217,0.244031,55282.7,52153.2,5.66097,196.5,3047,19.4137,27.4778,12.5158,16.6667,137.575,8.84624,12.7178,38.121,39.9261,4.18596,0.966969,0.160453,0.156271,0.179122,0.109282,0.154001,3.34564,4.33433,417.548,68.5664,85.6133,178.258,260.34,983.892,4694.08,10870.5,47707.9,0
0,31,0.1965,3.04715,0,80393.7,13107.4,0.16304,0,0,0,0,0,0,0,0,0.233487,0.247359,56118.8,52971.7,5.60807,196.5,3047.15,38.1938,27.0294,15.1527,20.285,151.494,7.05559,11.019,35.4735,38.4457,4.41177,1.22296,0.205185,0.166531,0.238387,0.116457,0.158702,4.52195,17.0544,454.762,99.7052,88.961,167.183,259.667,920.939,4638.8,10552.4,47935.7,0
0,32,0.1965,3.0473,0,80043.8,13241.9,0.165434,0,0,0,0,0,0,0,0,0.221326,0.233725,53387.3,50555.2,5.3049,196.5,3047.3,26.979,27.6517,11.5396,18.8433,145.758,7.10201,11.9386,37.4122,39.5226,4.85631,1.09011,0.100341,0.13573,0.186693,0.132885,0.145223,3.03401,18.0701,428.939,87.0004,78.5494,171.795,254.769,948.682,4445.25,10087.6,45744.5,0
